,station_name,closeness
940GZZLUSWN,South Wimbledon,0.04827662395050818
940GZZLUWYC,Wembley Central,0.048239320013246496
910GSHADWEL,Shadwell (Rail),0.04819675747215176
940GZZLUHGD,Hillingdon,0.04794821154268159
940GZZDLCYP,Cyprus,0.047629427792915534
940GZZLUNHT,Northolt,0.04756721454228802
940GZZLUCKS,Cockfosters,0.0474793568013907
910GROMFORD,Romford,0.04730461138774626
940GZZLUCYD,Chorleywood,0.047268793942671715
940GZZLUDGE,Dagenham East,0.047238136417684574
940GZZLUWAF,Watford,0.04720751863454683
940GZZDLDP,none,0.047070228349849204
910GKTON,none,0.04701958252636109
940GZZLUHLT,Hainault,0.046963997850617945
940GZZLUTHB,Theydon Bois,0.04682310082502947
940GZZDLGRE,Greenwich,0.046782999678835244
910GLEYTNMR,Leyton Midland Road,0.046747967479674794
910GCLPHHS,Clapham High Street,0.046732969735857124
940GZZLUHWE,Hounslow East,0.046678060243537704
910GSIVRST,Silver Street,0.04660836177474403
940GZZLUWIM,Wimbledon,0.04657359053607588
940GZZLUTAW,Totteridge & Whetstone,0.0465042034691923
910GWAPPING,Wapping,0.046469587409612934
940GZZLUEGW,Edgware,0.04635621088363212
940GZZLUMDN,Morden,0.04605817875210792
940GZZLUNWY,North Wembley,0.046053324902518705
940GZZLUUXB,Uxbridge,0.04575916230366492
910GDENMRKH,Denmark Hill,0.045606345230640784
940GZZDLGAL,Gallions Reach,0.04547819752315538
940GZZLUSRP,South Ruislip,0.04543091797484146
910GGIDEAPK,Gidea Park,0.045200661977658256
910GEMRSPKH,Emerson Park,0.045181968569065346
940GZZLUCAL,Chalfont & Latimer,0.04515862354035342
940GZZLUEPK,Elm Park,0.04513996487966119
910GHROW,none,0.04496810043218769
910GPCKHMRY,Peckham Rye,0.04486652977412731
910GRTHERHI,Rotherhithe,0.04486192382712247
940GZZLUEPG,Epping,0.04473334015764152
940GZZDLDEP,Deptford Bridge,0.04471503120843139
910GLYTNSHR,Leytonstone High Road,0.04469216608713438
940GZZLUHWC,Hounslow Central,0.04464650592562321
910GEDMNGRN,Edmonton Green,0.04459183673469388
940GZZLUHBT,High Barnet,0.04444218448082986
910GPCKHMQD,Queens Road Peckham,0.04437449228269699
910GSURREYQ,Surrey Quays,0.04411913175164059
940GZZLUSKT,South Kenton,0.044047979034371534
910GCNDAW,Canada Water (Rail),0.04396820605694738
940GZZDLBEC,Beckton,0.04350423096067695
940GZZLURSG,Ruislip Gardens,0.043469611061374716
910GHRLDWOD,Harold Wood,0.043267326732673264
910GUPMNSTR,Upminster (Rail),0.043233082706766915
940GZZLUCSM,Chesham,0.04321170770295659
940GZZLUAMS,Amersham,0.04321170770295659
940GZZLUHCH,Hornchurch,0.04321170770295659
910GHEDSTNL,Headstone Lane,0.04307965299684543
940GZZDLELV,Elverson Road,0.04281375526599392
910GWNSTDPK,Wanstead Park,0.04280117531831538
940GZZLUHWT,Hounslow West,0.0427760375880971
910GSBURY,Southbury,0.04271749755620723
910GBHILLPK,Bush Hill Park,0.042700801250732855
910GNEWXGTE,New Cross Gate,0.04233265523588104
910GNWCRELL,New Cross,0.04225896915191955
940GZZLUKEN,Kenton,0.04220183486238532
940GZZLUWRP,West Ruislip,0.04166269425112022
910GBRTWOOD,Brentwood,0.04148471615720524
940GZZLUUPB,Upminster Bridge,0.04143358300938656
