,station_name,degree
940GZZLURBG,Redbridge,0.004576659038901602
940GZZLURSG,Ruislip Gardens,0.004576659038901602
910GSHPDSB,Shepherd's Bush (Rail),0.004576659038901602
940GZZLURKW,Rickmansworth,0.004576659038901602
940GZZLUGPS,Great Portland Street,0.004576659038901602
940GZZLUGHK,Goldhawk Road,0.004576659038901602
940GZZLUHSC,Hammersmith,0.004576659038901602
940GZZLUWLA,Wood Lane,0.004576659038901602
940GZZLULRD,Latimer Road,0.004576659038901602
940GZZLULAD,Ladbroke Grove,0.004576659038901602
940GZZLUWSP,Westbourne Park,0.004576659038901602
940GZZLURYO,Royal Oak,0.004576659038901602
940GZZLUPAH,Paddington,0.004576659038901602
940GZZLUBBN,Barbican,0.004576659038901602
940GZZLUFCN,Farringdon,0.004576659038901602
940GZZLUCYD,Chorleywood,0.004576659038901602
940GZZLUNOW,Northwood,0.004576659038901602
940GZZLUESQ,Euston Square,0.004576659038901602
940GZZLUSBM,Shepherd's Bush Market,0.004576659038901602
940GZZLUUPB,Upminster Bridge,0.004576659038901602
940GZZLUNWH,Northwood Hills,0.004576659038901602
940GZZLUHCH,Hornchurch,0.004576659038901602
940GZZLUPNR,Pinner,0.004576659038901602
940GZZLUDGE,Dagenham East,0.004576659038901602
940GZZLUNHA,North Harrow,0.004576659038901602
940GZZLUNKP,Northwick Park,0.004576659038901602
940GZZLUCXY,Croxley,0.004576659038901602
940GZZLUEPK,Elm Park,0.004576659038901602
940GZZLUPRD,Preston Road,0.004576659038901602
940GZZLUUPM,Upminster,0.002288329519450801
910GWCROYDN,West Croydon,0.002288329519450801
940GZZLUKOY,Kensington (Olympia),0.002288329519450801
910GUPMNSTR,Upminster (Rail),0.002288329519450801
940GZZLUEGW,Edgware,0.002288329519450801
940GZZDLWLA,Woolwich Arsenal,0.002288329519450801
910GENFLDTN,Enfield Town,0.002288329519450801
940GZZDLSIT,Stratford International,0.002288329519450801
940GZZLUSTM,Stanmore,0.002288329519450801
940GZZLUHAW,Harrow & Wealdstone,0.002288329519450801
910GCHESHNT,Cheshunt,0.002288329519450801
940GZZLUHBT,High Barnet,0.002288329519450801
940GZZDLDP,none,0.002288329519450801
940GZZLUWAF,Watford,0.002288329519450801
940GZZLUEPG,Epping,0.002288329519450801
910GSHENFLD,Shenfield,0.002288329519450801
940GZZDLLDP,Langdon Park,0.002288329519450801
910GWATFDJ,Watford Junction,0.002288329519450801
940GZZLUWRP,West Ruislip,0.002288329519450801
940GZZLUUXB,Uxbridge,0.002288329519450801
940GZZLUCKS,Cockfosters,0.002288329519450801
910GEUSTON,Euston (Rail),0.002288329519450801
940GZZLUMHL,Mill Hill East,0.002288329519450801
940GZZLUMDN,Morden,0.002288329519450801
940GZZDLLEW,Lewisham,0.002288329519450801
940GZZLURMD,Richmond,0.002288329519450801
940GZZDLTWG,Tower Gateway,0.002288329519450801
910GRICHMND,none,0.002288329519450801
940GZZLUHR5,Heathrow Terminal 5,0.002288329519450801
910GCRYSTLP,Crystal Palace,0.002288329519450801
940GZZLUAMS,Amersham,0.002288329519450801
910GNWCRELL,New Cross,0.002288329519450801
940GZZLUWIM,Wimbledon,0.002288329519450801
940GZZLUWWL,Walthamstow Central,0.002288329519450801
940GZZLUCSM,Chesham,0.002288329519450801
940GZZDLBEC,Beckton,0.002288329519450801
940GZZLUBXN,Brixton,0.002288329519450801
910GCHINGFD,Chingford,0.002288329519450801
910GBARKING,Barking (Rail),0.002288329519450801
